T/F,CP,CN,choice_depth,num_sat_clauses,lit,good_decision,majority_was_picked,CPxCN,sumCPCN,deltaC,maxCPCN
1,4,3,2,9930,127,False,True,12,7,-630,4
1,4,3,6,10006,154,True,True,12,7,-630,4
1,4,3,4,9918,273,True,True,12,7,-630,4
1,4,3,4,9919,273,True,True,12,7,-630,4
1,4,3,5,9918,273,True,True,12,7,-630,4
1,4,3,5,9919,273,True,True,12,7,-630,4
-1,0,2,1,9729,112,True,True,0,2,-630,2
-1,0,2,5,9774,132,True,True,0,2,-630,2
1,4,3,1,10115,112,True,True,12,7,-630,4
1,4,3,4,10296,215,True,True,12,7,-630,4
-1,0,5,4,10015,114,True,True,0,5,-630,5
1,4,3,4,9806,154,True,True,12,7,-630,4
1,4,3,5,10355,514,True,True,12,7,-630,4
1,4,3,6,10399,522,False,True,12,7,-630,4
-1,0,2,8,10363,141,True,True,0,2,-630,2
-1,0,5,1,10271,114,True,True,0,5,-630,5
1,4,3,2,10243,118,True,True,12,7,-630,4
1,4,3,3,10392,133,True,True,12,7,-630,4
1,4,3,2,10185,138,False,True,12,7,-630,4
-1,0,4,1,9852,111,True,True,0,4,-630,4
-1,0,4,6,9973,121,True,True,0,4,-630,4
-1,0,3,8,10070,131,True,True,0,3,-630,3
1,4,3,10,10209,147,False,True,12,7,-630,4
-1,0,2,5,9974,154,True,True,0,2,-630,2
-1,0,4,3,9643,155,True,True,0,4,-630,4
-1,0,3,5,9692,165,True,True,0,3,-630,3
1,4,3,6,10389,173,False,True,12,7,-630,4
1,4,3,4,10054,152,False,True,12,7,-630,4
-1,0,3,3,10100,142,True,True,0,3,-630,3
-1,0,3,4,10029,212,True,True,0,3,-630,3
-1,0,5,1,9735,111,True,True,0,5,-630,5
-1,0,7,3,9890,121,True,True,0,7,-630,7
-1,0,5,9,9934,131,True,True,0,5,-630,5
1,4,3,6,10304,273,True,True,12,7,-630,4
1,4,3,5,10323,242,True,True,12,7,-630,4
1,4,3,5,10323,242,True,True,12,7,-630,4
-1,0,7,1,9527,112,True,True,0,7,-630,7
-1,0,3,3,9674,121,True,True,0,3,-630,3
-1,0,6,4,9683,122,True,True,0,6,-630,6
-1,0,6,5,9683,125,True,True,0,6,-630,6
1,4,3,6,9643,126,True,True,12,7,-630,4
1,4,3,5,9857,146,False,True,12,7,-630,4
1,4,3,1,10280,111,True,True,12,7,-630,4
-1,0,2,3,9866,137,True,True,0,2,-630,2
-1,0,3,8,10296,144,True,True,0,3,-630,3
1,4,3,4,9701,128,True,True,12,7,-630,4
1,4,3,6,9905,157,False,True,12,7,-630,4
1,4,3,9,10089,157,False,True,12,7,-630,4
-1,0,3,1,9641,121,True,True,0,3,-630,3
1,4,3,2,10213,371,False,True,12,7,-630,4
-1,0,2,3,9647,183,True,True,0,2,-630,2
1,4,3,4,9914,371,False,True,12,7,-630,4
-1,0,3,3,10012,123,True,True,0,3,-630,3
1,4,3,2,9963,224,False,True,12,7,-630,4
1,4,3,2,9974,224,False,True,12,7,-630,4
1,4,3,2,10159,156,True,True,12,7,-630,4
1,4,3,3,10260,212,False,True,12,7,-630,4
1,4,3,4,10329,247,True,True,12,7,-630,4
1,4,3,4,10138,211,True,True,12,7,-630,4
1,4,3,5,10247,242,True,True,12,7,-630,4
1,4,3,8,10367,354,False,True,12,7,-630,4
1,4,3,3,10197,217,False,True,12,7,-630,4
1,4,3,7,10341,132,True,True,12,7,-630,4
1,4,3,6,9949,154,False,True,12,7,-630,4
-1,0,5,9,9719,151,True,True,0,5,-630,5
-1,0,5,10,9661,151,True,True,0,5,-630,5
1,4,3,13,10386,183,False,True,12,7,-630,4
-1,0,3,6,9998,157,True,True,0,3,-630,3
1,4,3,12,9453,116,True,True,12,7,-630,4
-1,0,4,1,9450,121,True,True,0,4,-630,4
1,4,3,8,10077,157,True,True,12,7,-630,4
1,4,3,11,10036,157,True,True,12,7,-630,4
-1,0,3,10,9986,226,True,True,0,3,-630,3
1,4,3,2,10123,178,True,True,12,7,-630,4
1,4,3,5,9959,173,True,True,12,7,-630,4
1,4,3,5,9833,173,True,True,12,7,-630,4
-1,0,6,2,10005,412,True,True,0,6,-630,6
-1,0,6,3,10005,412,True,True,0,6,-630,6
1,4,3,10,10151,141,True,True,12,7,-630,4
1,4,3,11,10243,273,False,True,12,7,-630,4
1,4,3,11,10183,141,True,True,12,7,-630,4
1,4,3,11,10330,273,False,True,12,7,-630,4
1,4,3,11,10151,141,True,True,12,7,-630,4
-1,0,8,1,9542,135,True,True,0,8,-630,8
1,4,3,3,9875,152,False,True,12,7,-630,4
1,4,3,3,9775,173,True,True,12,7,-630,4
1,4,3,9,9753,173,True,True,12,7,-630,4
1,4,3,15,10060,173,True,True,12,7,-630,4
1,4,3,3,10246,325,True,True,12,7,-630,4
-1,0,3,3,9819,154,True,True,0,3,-630,3
1,4,3,3,9892,116,True,True,12,7,-630,4
1,4,3,5,10099,123,False,True,12,7,-630,4
-1,0,4,5,10280,131,True,True,0,4,-630,4
1,4,3,3,9814,127,True,True,12,7,-630,4
-1,0,1,1,9725,111,True,True,0,1,-630,1
1,4,3,4,10169,153,False,True,12,7,-630,4
-1,0,8,3,9723,121,True,True,0,8,-630,8
-1,0,5,4,9726,125,True,True,0,5,-630,5
-1,0,7,7,9967,121,True,True,0,7,-630,7
-1,0,3,8,9967,123,False,True,0,3,-630,3
-1,0,5,9,9699,121,True,True,0,5,-630,5
1,4,3,11,10269,211,True,True,12,7,-630,4
1,4,3,12,10339,211,True,True,12,7,-630,4
-1,0,6,1,9443,111,True,True,0,6,-630,6
-1,0,6,3,9638,121,True,True,0,6,-630,6
-1,0,7,6,9551,121,True,True,0,7,-630,7
1,4,3,2,10224,141,True,True,12,7,-630,4
1,4,3,3,10224,141,True,True,12,7,-630,4
1,4,3,3,9917,121,False,True,12,7,-630,4
-1,0,4,2,9965,152,True,True,0,4,-630,4
-1,0,4,1,10007,111,True,True,0,4,-630,4
1,4,3,15,10192,145,False,True,12,7,-630,4
-1,0,7,3,9575,121,True,True,0,7,-630,7
-1,0,5,4,9582,125,True,True,0,5,-630,5
-1,0,5,7,9854,121,True,True,0,5,-630,5
-1,0,5,8,9867,124,True,True,0,5,-630,5
-1,0,3,2,9839,156,True,True,0,3,-630,3
1,4,3,5,10424,277,True,True,12,7,-630,4
-1,0,4,1,9822,111,True,True,0,4,-630,4
1,4,3,3,9800,115,False,True,12,7,-630,4
